Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_accountbonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtorsguarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,Foreign_worker,Creditworthiness
1,0.294118,3,2,0.11461400000000001,5,2,1.0,1,1,0.333333,2,0.178571,1,2,0.0,2,0,1,1,good credit
0,0.117647,2,2,0.056784,1,3,0.333333,2,1,1.0,3,0.017856999999999998,3,1,0.0,3,0,1,1,bad credit
3,0.117647,3,5,0.071806,4,5,1.0,1,1,1.0,4,0.642857,3,3,0.333333,3,1,1,1,bad credit
0,0.470588,4,2,0.328986,1,2,1.0,2,2,1.0,4,0.07142899999999999,3,1,0.333333,2,0,2,1,bad credit
3,0.470588,4,0,0.180753,1,4,1.0,1,1,1.0,3,0.321429,3,2,0.333333,3,0,2,1,good credit
1,0.16176500000000002,2,0,0.131011,2,3,0.333333,2,1,1.0,3,0.16071400000000002,3,1,0.333333,3,0,2,1,bad credit
0,0.029412,2,6,0.010895,1,2,1.0,2,1,1.0,2,0.07142899999999999,3,2,0.0,3,0,1,1,bad credit
1,0.382353,4,0,0.106251,5,5,1.0,1,1,1.0,1,0.303571,3,2,0.333333,3,0,1,1,good credit
3,0.117647,2,1,0.120777,5,2,0.333333,1,1,1.0,3,0.125,3,1,0.0,3,0,2,1,good credit
0,0.294118,1,0,0.051887,1,1,0.0,2,2,1.0,4,0.178571,3,1,0.333333,1,0,1,1,bad credit
3,0.029412,2,5,0.02256,3,4,0.333333,1,1,1.0,1,0.07142899999999999,3,1,0.0,2,0,1,1,good credit
2,0.08823500000000001,2,0,0.054473,2,5,0.0,2,1,1.0,4,0.517857,3,3,0.0,2,1,1,1,bad credit
1,0.029412,4,8,0.037526,5,4,0.0,2,1,0.666667,2,0.357143,3,2,0.333333,2,0,1,1,good credit
3,0.294118,2,1,0.133157,1,5,1.0,1,1,1.0,3,0.28571399999999997,3,2,0.0,4,0,2,1,good credit
3,0.294118,4,3,0.10856199999999999,2,5,1.0,1,1,1.0,2,0.589286,1,2,0.333333,3,0,1,1,good credit
0,0.205882,2,3,0.16177,1,3,0.333333,2,1,0.333333,1,0.089286,3,2,0.0,3,0,1,1,bad credit
1,0.294118,4,10,0.643117,1,3,0.333333,1,2,0.666667,3,0.357143,3,2,0.333333,4,1,2,1,bad credit
3,0.205882,2,5,0.093155,1,2,1.0,2,1,1.0,1,0.07142899999999999,3,2,0.0,3,0,1,1,bad credit
3,0.117647,2,0,0.06250700000000001,3,3,0.333333,2,1,0.333333,2,0.125,3,2,0.0,3,0,1,1,bad credit
0,0.647059,1,9,0.40910100000000005,1,4,0.333333,2,3,1.0,3,0.321429,3,1,0.0,3,0,1,1,bad credit
3,0.294118,4,0,0.05706,4,5,1.0,2,1,1.0,1,0.321429,3,2,0.333333,3,0,2,1,good credit
0,0.294118,2,2,0.164191,1,2,1.0,2,1,1.0,1,0.07142899999999999,3,1,0.0,2,0,2,1,bad credit
1,0.235294,0,1,0.32453000000000004,2,5,0.666667,1,1,1.0,3,0.214286,1,2,0.333333,3,0,2,1,good credit
1,0.338235,3,1,0.31446,1,5,0.0,1,1,0.333333,3,0.196429,3,2,0.333333,4,0,2,1,good credit
1,0.235294,3,1,0.374546,5,4,0.666667,1,1,1.0,2,0.303571,1,1,0.333333,4,1,2,1,good credit
0,0.647059,2,1,0.552823,1,4,1.0,1,1,1.0,4,0.357143,2,3,0.666667,3,1,2,1,bad credit
1,0.08823500000000001,2,2,0.069935,1,3,1.0,1,1,0.333333,3,0.214286,3,2,0.0,2,0,1,1,good credit
3,0.294118,2,0,0.067074,2,5,1.0,1,1,1.0,1,0.392857,3,1,0.0,2,0,1,1,good credit
1,0.117647,2,0,0.397381,5,1,0.0,2,1,0.333333,1,0.089286,3,1,0.0,1,0,1,1,good credit
0,0.205882,2,1,0.399527,5,5,0.0,1,1,1.0,2,0.571429,3,3,0.0,3,1,2,1,bad credit
3,0.117647,2,6,0.06289199999999999,1,5,1.0,1,1,1.0,2,0.5,1,2,0.666667,3,1,2,1,good credit
3,0.029412,2,3,0.074007,1,4,0.666667,1,1,0.333333,2,0.571429,3,2,0.0,3,1,1,1,good credit
2,0.470588,2,3,0.217894,1,3,1.0,1,1,0.333333,3,0.125,3,2,0.0,3,0,1,1,bad credit
0,0.382353,4,1,0.57076,1,5,0.666667,1,1,1.0,4,0.33928600000000003,3,3,0.666667,4,1,2,1,good credit
1,0.117647,2,0,0.0575,1,2,0.666667,2,1,0.0,3,0.107143,3,1,0.0,3,0,1,1,bad credit
1,0.029412,2,3,0.099758,1,2,1.0,1,1,0.666667,3,0.196429,3,1,0.0,4,0,2,1,good credit
0,0.029412,4,2,0.08924800000000001,1,1,1.0,1,1,1.0,4,0.303571,3,3,0.666667,4,0,2,1,good credit
2,0.382353,3,9,0.09122899999999999,1,5,1.0,1,1,1.0,1,0.8392860000000001,3,2,0.0,4,0,2,1,bad credit
0,0.205882,2,3,0.129306,1,3,1.0,1,1,1.0,4,0.8214290000000001,3,3,0.333333,3,0,1,1,bad credit
1,0.117647,4,1,0.085507,2,2,0.666667,1,1,1.0,2,0.446429,3,2,0.0,3,0,1,1,good credit
1,0.470588,2,3,0.133212,2,3,1.0,2,2,1.0,4,0.553571,3,3,0.0,3,0,1,1,bad credit
1,0.029412,2,5,0.011225,1,2,0.666667,1,1,0.0,2,0.053571,3,2,0.0,2,0,1,1,good credit
0,0.647059,2,1,0.24969699999999997,1,4,1.0,1,1,0.666667,2,0.125,3,2,0.0,3,1,1,1,good credit
